title,price,rating,category
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),£24.17,star-rating Four,Young Adult
Walk the Edge (Thunder Road #2),£32.36,star-rating Three,Young Adult
Two Boys Kissing,£32.74,star-rating Two,Young Adult
The New Guy (and Other Senior Year Distractions),£44.92,star-rating Three,Young Adult
"The Land of 10,000 Madonnas",£29.64,star-rating Four,Young Adult
Scarlet (The Lunar Chronicles #2),£14.57,star-rating Four,Young Adult
Legend (Legend #1),£43.69,star-rating Four,Young Adult
Lady Renegades (Rebel Belle #3),£53.04,star-rating Five,Young Adult
Golden (Heart of Dread #3),£42.21,star-rating Four,Young Adult
Cinder (The Lunar Chronicles #1),£26.09,star-rating One,Young Adult
Boy Meets Boy,£21.12,star-rating Three,Young Adult
Annie on My Mind,£36.83,star-rating Five,Young Adult
New Moon (Twilight #2),£12.86,star-rating Four,Young Adult
Girl Online On Tour (Girl Online #2),£53.47,star-rating One,Young Adult
The Haters,£27.89,star-rating Five,Young Adult
The Art of Not Breathing,£40.83,star-rating Four,Young Adult
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,star-rating Four,Science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,star-rating Five,Science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,star-rating Four,Science
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,star-rating One,Science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,star-rating One,Science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,star-rating One,Science
The Origin of Species,£10.01,star-rating Four,Science
The Grand Design,£13.76,star-rating Three,Science
Peak: Secrets from the New Science of Expertise,£16.28,star-rating Two,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,star-rating Four,Science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,star-rating Five,Science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,star-rating Two,Science
Seven Brief Lessons on Physics,£30.60,star-rating Four,Science
The Selfish Gene,£29.45,star-rating One,Science
A Light in the Attic,£51.77,star-rating Three,Poetry
The Black Maria,£52.15,star-rating One,Poetry
Shakespeare's Sonnets,£20.66,star-rating Four,Poetry
Olio,£23.88,star-rating One,Poetry
You can't bury them all: Poems,£33.63,star-rating Two,Poetry
Slow States of Collapse: Poems,£57.31,star-rating Three,Poetry
Untitled Collection: Sabbath Poems 2014,£14.27,star-rating Four,Poetry
Poems That Make Grown Women Cry,£14.19,star-rating Four,Poetry
Night Sky with Exit Wounds,£41.05,star-rating One,Poetry
salt.,£46.78,star-rating Four,Poetry
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,star-rating Five,Poetry
Out of Print: City Lights Spotlight No. 14,£53.64,star-rating Five,Poetry
Les Fleurs du Mal,£29.04,star-rating Five,Poetry
Howl and Other Poems,£40.45,star-rating Two,Poetry
Leave This Song Behind: Teen Poetry at Its Best,£51.17,star-rating Five,Poetry
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,star-rating Five,Poetry
The Crossover,£38.77,star-rating Four,Poetry
Booked,£17.49,star-rating Five,Poetry
Twenty Love Poems and a Song of Despair,£30.95,star-rating Four,Poetry
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40,star-rating One,Paranormal
Wall and Piece,£44.18,star-rating Four,Art
Feathers: Displays of Brilliant Plumage,£49.05,star-rating Three,Art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,star-rating Four,Art
The New Drawing on the Right Side of the Brain,£43.02,star-rating Three,Art
History of Beauty,£10.29,star-rating Four,Art
The Story of Art,£41.14,star-rating Four,Art
The Art Book,£32.34,star-rating Two,Art
Ways of Seeing,£39.51,star-rating Five,Art
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,star-rating One,Psychology
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,star-rating One,Psychology
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,star-rating Three,Psychology
An Unquiet Mind: A Memoir of Moods and Madness,£21.30,star-rating Three,Psychology
"Thinking, Fast and Slow",£21.14,star-rating One,Psychology
Civilization and Its Discontents,£59.95,star-rating Two,Psychology
8 Keys to Mental Health Through Exercise,£31.04,star-rating One,Psychology
The Argonauts,£10.93,star-rating Two,Autobiography
M Train,£27.18,star-rating One,Autobiography
Lab Girl,£40.85,star-rating One,Autobiography
Approval Junkie: Adventures in Caring Too Much,£58.81,star-rating Five,Autobiography
Running with Scissors,£12.91,star-rating Four,Autobiography
Me Talk Pretty One Day,£57.60,star-rating Two,Autobiography
Lust & Wonder,£11.87,star-rating Two,Autobiography
Life Without a Recipe,£59.04,star-rating Five,Autobiography
A Heartbreaking Work of Staggering Genius,£54.29,star-rating Five,Autobiography
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,£37.35,star-rating Two,Parenting
Fifty Shades Freed (Fifty Shades #3),£15.36,star-rating Five,Adult Fiction
The Long Haul (Diary of a Wimpy Kid #9),£44.07,star-rating One,Humor
Old School (Diary of a Wimpy Kid #10),£11.83,star-rating Five,Humor
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,star-rating Four,Humor
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,star-rating Five,Humor
Dress Your Family in Corduroy and Denim,£43.68,star-rating Three,Humor
Toddlers Are A**holes: It's Not Your Fault,£25.55,star-rating One,Humor
When You Are Engulfed in Flames,£30.89,star-rating Five,Humor
Naked,£31.69,star-rating Three,Humor
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,star-rating Five,Humor
Holidays on Ice,£51.07,star-rating Two,Humor
Security,£39.25,star-rating Two,Horror
Follow You Home,£21.36,star-rating One,Horror
The Loney,£23.40,star-rating One,Horror
Pet Sematary,£10.56,star-rating Three,Horror
Doctor Sleep (The Shining #2),£40.12,star-rating Two,Horror
Psycho: Sanitarium (Psycho #1.5),£36.97,star-rating Five,Horror
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,star-rating One,Horror
Red Dragon (Hannibal Lecter #1),£23.37,star-rating Three,Horror
Dracula the Un-Dead,£35.63,star-rating Five,Horror
Night Shift (Night Shift #1-20),£12.75,star-rating Four,Horror
Needful Things,£47.51,star-rating Four,Horror
Misery,£34.79,star-rating Two,Horror
It,£25.01,star-rating Three,Horror
'Salem's Lot,£49.56,star-rating Four,Horror
The Stand,£57.86,star-rating Two,Horror
The Girl with All the Gifts,£49.47,star-rating Three,Horror
House of Leaves,£54.89,star-rating One,Horror
Sapiens: A Brief History of Humankind,£54.23,star-rating Five,History
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,star-rating One,History
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,star-rating One,History
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,star-rating Two,History
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,star-rating One,History
Zealot: The Life and Times of Jesus of Nazareth,£24.70,star-rating Three,History
A Distant Mirror: The Calamitous 14th Century,£14.58,star-rating Three,History
1491: New Revelations of the Americas Before Columbus,£21.80,star-rating Three,History
Brilliant Beacons: A History of the American Lighthouse,£11.45,star-rating Three,History
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,star-rating Five,History
A Short History of Nearly Everything,£52.40,star-rating Five,History
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,star-rating Two,History
Catherine the Great: Portrait of a Woman,£58.55,star-rating Four,History
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,star-rating Five,History
The Hiding Place,£55.91,star-rating Four,History
America's War for the Greater Middle East: A Military History,£51.22,star-rating Two,History
The Guns of August,£14.54,star-rating Two,History
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,star-rating Two,History
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,star-rating Three,Food and Drink
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,star-rating One,Food and Drink
My Paris Kitchen: Recipes and Stories,£33.37,star-rating Two,Food and Drink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,star-rating Four,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,star-rating One,Food and Drink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,star-rating Five,Food and Drink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,star-rating Two,Food and Drink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,star-rating One,Food and Drink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,star-rating Three,Food and Drink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,star-rating Three,Food and Drink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,star-rating One,Food and Drink
Barefoot Contessa Back to Basics,£28.01,star-rating One,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,star-rating Five,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,star-rating Two,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,star-rating Five,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,star-rating One,Food and Drink
Cravings: Recipes for What You Want to Eat,£20.50,star-rating Three,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,star-rating Four,Food and Drink
32 Yolks,£53.63,star-rating Two,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,star-rating Five,Food and Drink
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),£46.01,star-rating Four,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,£28.25,star-rating Two,Food and Drink
The Barefoot Contessa Cookbook,£59.92,star-rating Five,Food and Drink
Better Homes and Gardens New Cook Book,£39.61,star-rating Three,Food and Drink
The Power Greens Cookbook: 140 Delicious Superfood Recipes,£11.05,star-rating Five,Food and Drink
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,£24.91,star-rating Five,Food and Drink
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,£13.66,star-rating Two,Food and Drink
The Smitten Kitchen Cookbook,£23.59,star-rating One,Food and Drink
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",£34.32,star-rating Three,Food and Drink
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,£33.14,star-rating Three,Food and Drink
Redeeming Love,£20.47,star-rating Five,Christian Fiction
Close to You,£49.46,star-rating Four,Christian Fiction
Shadows of the Past (Logan Point #1),£39.67,star-rating Five,Christian Fiction
Like Never Before (Walker Family #2),£28.77,star-rating Two,Christian Fiction
Counted With the Stars (Out from Egypt #1),£17.97,star-rating Five,Christian Fiction
If I Run (If I Run #1),£49.97,star-rating Four,Christian Fiction
The Dirty Little Secrets of Getting Your Dream Job,£33.34,star-rating Four,Business
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,star-rating Five,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,star-rating Three,Business
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,star-rating Two,Business
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,star-rating Five,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,star-rating One,Business
The Art of Startup Fundraising,£21.00,star-rating Three,Business
Born for This: How to Find the Work You Were Meant to Do,£21.59,star-rating Five,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,star-rating One,Business
"Rich Dad, Poor Dad",£51.74,star-rating One,Business
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,star-rating Three,Business
Rework,£44.88,star-rating Two,Business
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,star-rating Two,Biography
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,star-rating Two,Biography
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,£39.55,star-rating One,Biography
Benjamin Franklin: An American Life,£48.19,star-rating Three,Biography
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57,star-rating Three,Biography
In Her Wake,£12.84,star-rating One,Thriller
The Elephant Tree,£23.82,star-rating Five,Thriller
Behind Closed Doors,£52.22,star-rating Four,Thriller
You (You #1),£43.61,star-rating Five,Thriller
The Guilty (Will Robie #4),£13.82,star-rating Two,Thriller
The 14th Colony (Cotton Malone #11),£39.24,star-rating One,Thriller
Give It Back,£18.32,star-rating Two,Thriller
Killing Floor (Jack Reacher #1),£31.49,star-rating Four,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,star-rating Three,Thriller
Far From True (Promise Falls Trilogy #2),£34.93,star-rating Two,Thriller
The Travelers,£15.77,star-rating One,Thriller
When We Collided,£31.77,star-rating One,Contemporary
Someone Like You (The Harrisons #2),£52.79,star-rating Five,Contemporary
We Are All Completely Beside Ourselves,£24.04,star-rating One,Contemporary
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,star-rating Five,Spirituality
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,star-rating Five,Spirituality
Chasing Heaven: What Dying Taught Me About Living,£37.80,star-rating Two,Spirituality
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,star-rating One,Spirituality
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,£46.33,star-rating Two,Spirituality
A New Earth: Awakening to Your Life's Purpose,£55.65,star-rating Five,Spirituality
Logan Kade (Fallen Crest High #5.5),£13.12,star-rating Two,Academic
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,star-rating One,Self Help
How to Be Miserable: 40 Strategies You Already Use,£46.03,star-rating One,Self Help
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,star-rating Three,Self Help
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,£12.08,star-rating Three,Self Help
How to Stop Worrying and Start Living,£46.49,star-rating Five,Self Help
All the Light We Cannot See,£29.87,star-rating Five,Historical
The Girl You Left Behind (The Girl You Left Behind #1),£15.79,star-rating One,Historical
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,star-rating Five,Christian
Crazy Love: Overwhelmed by a Relentless God,£47.72,star-rating Two,Christian
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,£25.77,star-rating One,Christian
Silence in the Dark (Logan Point #4),£58.33,star-rating Three,Suspense
The Grownup,£35.88,star-rating One,Short Stories
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,star-rating Five,Novels
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,star-rating Three,Health
"Eat Fat, Get Thin",£54.07,star-rating Two,Health
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,star-rating Five,Health
The Art and Science of Low Carbohydrate Living,£52.98,star-rating Five,Health
Libertarianism for Beginners,£51.33,star-rating Two,Politics
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,star-rating Four,Politics
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,star-rating One,Politics
Amid the Chaos,£36.58,star-rating One,Cultural
Dark Notes,£19.19,star-rating Five,Erotica
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,star-rating One,Crime
